"year_id","mx","ax","qx","n","px","lx","dx","nLx","Tx","ex","age","location_name","sex"
1971,0.00344535341509331,2.50042259470262,0.017079678124884,5,0.982920321875116,73698.7517883035,1258.75095874994,365347.41348613,3917943.12809141,53.1615940978964,"5","Haiti","both"
1972,0.00351932777362583,2.50035188011631,0.0174431897143958,5,0.982556810285604,74805.2733350905,1304.84257442121,370764.719387557,3982582.89648225,53.2393335245531,"5","Haiti","both"
1973,0.00350687504927484,2.49997564225048,0.0173819826583834,5,0.982618017341617,75933.7894326912,1319.87981110437,376369.215486393,4058280.75485838,53.4449918169263,"5","Haiti","both"
1974,0.00320509200328567,2.50047245648671,0.0158980969320233,5,0.984101903067977,76510.7066041559,1216.37462993048,379513.171130038,4122199.69221155,53.8774228493093,"5","Haiti","both"
1975,0.00327081998112546,2.49979029524082,0.0162214452114316,5,0.983778554788568,76841.0096375871,1246.47222782721,381088.606227209,4156976.86474678,54.0984154731015,"5","Haiti","both"
1976,0.00331365803221367,2.50023074466457,0.0164321761936794,5,0.983567823806321,76556.7188730757,1257.99349333235,379638.900907334,4162219.54164957,54.3677890447495,"5","Haiti","both"
1977,0.00322008427357685,2.50042778197761,0.0159718664788641,5,0.984028133521136,75898.1526894694,1212.23516074865,376460.69411783,4148551.64596015,54.6594547950802,"5","Haiti","both"
1978,0.0031313217921082,2.50033470747927,0.0155350124349817,5,0.984464987565018,75704.4124897965,1176.06898941197,375582.283614539,4158538.40356359,54.931255217443,"5","Haiti","both"
1979,0.00299936261717526,2.49919847400734,0.0148851623025452,5,0.985114837697455,77713.3474797293,1156.77579030987,385673.870737008,4291199.59605891,55.2183085045748,"5","Haiti","both"
1980,0.00301564513148724,2.5007563021999,0.0149654336965164,5,0.985034566303484,79473.9609973284,1189.36229390505,394397.298769199,4402512.68023857,55.395661987787,"5","Haiti","both"
1981,0.00290522481438747,2.50057520361383,0.0144214046151208,5,0.985578595384879,80469.8979349104,1160.48895745681,399448.934798352,4478415.41172684,55.653300509332,"5","Haiti","both"
1982,0.00268732697352361,2.49939285432928,0.0133469440836331,5,0.986653055916367,81154.1108769915,1083.15938003217,403061.998299349,4531356.19076385,55.8364344306872,"5","Haiti","both"
